nama_penulis,rating,teks_ulasan,waktu,likes,case_holding_sentimen,sentimen,ulasan_bersih
FIM 77,5.0,"Cari second laptop paling sip disini, lengkap banyak pilihan, harga menarik",4 months ago,0,Netral,Positif,cari second laptop sip lengkap pilih harga tarik
Fitri NP,5.0,"Tempat cari gadget recomended banget, khusunya laptop. Aku cari laptop second disini, dibantu kasih rekomendasi sama mas mas pegawainya. Pelayanan super ramah, dan sangat membantu menentukan pilihan.
Harganya sangat bersaing dibanding toko lain, kalau cari yang garasi resmi masih on juga ada. Pokoknya disini siapa cepat dia dapat, baeang incaran cepat sekali terjualnya
Terthe best lah",3 years ago,0,Positif,Positif,cari gadget recomended banget khusunya laptop cari laptop second bantu kasih rekomendasi mas mas pegawai layan super ramah bantu tentu pilih harga saing banding toko cari garasi resmi on pokok cepat baeang incar cepat jual terthe best
AYU NINGRUM,5.0,"Tempat nya adem, pilihan banyak, mas e ramah, BISA NEGO 🤩",3 months ago,0,Netral,Positif,nya adem pilih mas e ramah nego
Haidar Shiddiq,5.0,"harga terjangkau diskon banyakk, pelayanan ramahh",3 months ago,0,Netral,Positif,harga jangkau diskon banyakk layan ramahh
MUHAMMAD WAHID NASHRULLOH,5.0,bagus deh buat yang lagi nyari laptop second murah di jogja recommend banget,5 days ago,0,Netral,Positif,bagus deh nyari laptop second murah jogja recommend banget
Eniek Nawarsih,5.0,"pelayanan ramah, laptop murah berkualitas",6 months ago,0,Netral,Positif,layan ramah laptop murah kualitas
Rahmatika Marsaoli,5.0,"Untuk kakak-kakak yang jualnya baik dan informatif sekali, tempat nyaman dan sejuk🌻",5 months ago,0,Netral,Positif,kakakkakak jual informatif nyaman sejuk
isyi,5.0,"servis okeee, barang bagus mulus. mantaplah 👍🏻👍🏻👍🏻",3 weeks ago,0,Netral,Positif,servis okeee barang bagus mulus mantap
Daniel Alfarizqi,5.0,"pelayanan baik dan ramah, tempatnya bagus & nyaman, modelnya banyak, dapat bonus✨",a month ago,0,Netral,Positif,layan ramah tempat bagus nyaman model bonus
Rifki,5.0,"Gudangnya laptop bekas berkualitas rasa baru. Adminnya ramah banget, ada garansi juga. Pilihan laptopnya juga banyak. Gudangnya laptop spek dewa harga murah. Pokoknya rekomended banget. Saya kesini, adminnya sampai beliin es jeruk saking ramahnya. Keren deh.",a year ago,0,Netral,Positif,gudang laptop bekas kualitas adminnya ramah banget garansi pilih laptop gudang laptop spek dewa harga murah pokok rekomended banget kesini adminnya beliin es jeruk saking ramah keren deh
Reyhan Sty,5.0,Cari laptop murah kualitas premium!,a month ago,0,Netral,Positif,cari laptop murah kualitas premium
Nining Rahmala,5.0,"Pelayanannya ramah,, tempatnya nyaman, tokonya amanah, tempat jual laptop second Ter rekomended",2 months ago,0,Netral,Positif,layan ramah tempat nyaman toko amanah jual laptop second ter rekomended
Hendra Hendrawan,5.0,Jauh jauh ke sini dari Ponorogo Alhamdulillah dapat barang sesuai yang diinginkan dengan budget yang sesuai,4 months ago,0,Netral,Positif,ponorogo alhamdulillah barang sesuai budget sesuai
Yusuf Rahmatullah,5.0,"Unit mantap, like new, pegawai ramah...",4 months ago,0,Positif,Positif,unit mantap like new pegawai ramah
faisal adnan,5.0,Balik lagi ke hero buat beli laptop incaran ternyata sudah laku wkwk. Alhamdulillah dapet laptop lain di harga yang cukup mirip dengan sebelumnya.👍👍,2 months ago,0,Netral,Positif,hero beli laptop incar laku wkwk alhamdulillah dapet laptop harga
Bagas Fawaz D,5.0,"pelayanan ramah, barang sesuai yang di inginkan, recommended",3 weeks ago,0,Netral,Positif,layan ramah barang sesuai recommended
Well Dude,5.0,"Good service, laptopnya like new, dapet bonus jugaaa 10/10",6 months ago,0,Positif,Positif,good service laptop like new dapet bonus jugaaa
Aqsha Laorens Umami,5.0,"pilihan laptop terpercaya, bagus, dan pastinya juga original serta pemakaian bisa jangka panjang. Jangan lupa berbelanja disini guys.",3 months ago,0,Positif,Positif,pilih laptop percaya bagus pasti original pakai jangka lupa belanja guys
Dinda Ajeng Prastika,5.0,"Jual beli laptop bekas tapi kualitas berkelas 👍🏻. Beli laptop masih garansi officialnya 2 tahun, abis tu dapet potongan 100rb/new mouse. Masnya juga ramah dan membantu banget",a year ago,0,Netral,Positif,jual beli laptop bekas kualitas kelas beli laptop garansi officialnya abis tu dapet potong rbnew mouse mas ramah bantu banget
Ali Suranto,5.0,"pelayanannya ramaah, dibantu buat cek cek sepesifikasi dan pertanyaan pertanyaan di jawab dengan baik",6 months ago,0,Netral,Positif,layan ramaah bantu cek cek sepesifikasi
Manyus Mariyanto (Rian),5.0,"Bagus pelayanan nya,, buat kita yg awam dibantu penjelasan spek laptop nya 🔥",2 months ago,0,Netral,Positif,bagus layan nya yg awam bantu jelas spek laptop nya
Thofa Jr,5.0,"Laptopnya kualitasnya ok
Beberapa transaksi disini tidak pernah bermasalah",4 months ago,0,Positif,Positif,laptop kualitas ok transaksi masalah
Muhammad Fariz,5.0,"Tempat cari laptop second recommended.
Pelayanannya ramah, tempat nyaman. Lengkap sekali laptop dari range harga berapapun ada.",3 months ago,0,Netral,Positif,cari laptop second recommended layan ramah nyaman lengkap laptop range harga
Heni Listya,5.0,"Bagus, pelayanan ramah recommend untuk yg mau cari laptop kerja maupun buat kuliah",2 months ago,0,Netral,Positif,bagus layan ramah recommend yg cari laptop kerja kuliah
Dean Asmara,5.0,"Nyaman, cepat, tertata, dan bisa cari spek laptop yg sesuai juga",a month ago,0,Netral,Positif,nyaman cepat tata cari spek laptop yg sesuai
apti alimah,5.0,"Good place, banyak pilihan laptopnya , barangnya masih bagus, mas nya ramah jugaa",2 months ago,0,Positif,Positif,good place pilih laptop barang bagus mas nya ramah jugaa
Soulbit Yoga,5.0,"Pelayanan baik terbuka konsultasi via chat atau kunjungan di storenya langsung. Produk laptop oke punya, mantap deh. Langsung beli 2 unit, tinggal makin dibanyakin stoknya ya, biar makin banyak pilihannya juga 👍",11 months ago,0,Netral,Positif,layan buka konsultasi via chat kunjung storenya langsung produk laptop oke mantap deh langsung beli unit tinggal dibanyakin stok ya biar pilih
MUHAMMAD YUSUF RAHARDIAN,5.0,"Pelayanan terbaik, harga terbaik",a week ago,0,Netral,Positif,layan baik harga baik
Annas Rizky Julyanto,5.0,"Kualitas barangnya bagus, rekomend untuk yang mau cari laptop second atau baru dan tempatnya nyaman",2 months ago,0,Netral,Positif,kualitas barang bagus rekomend cari laptop second tempat nyaman
Muhammad Annur Rizal,5.0,ada nomor WA yang bisa dihubungi ga min hero computer? Takutnya banyak penipuan yg mengatasnamakan hero computer,2 months ago,0,Netral,Positif,nomor wa hubung ga min hero computer takut tipu yg mengatasnamakan hero computer
Aldi Muhamad Rizqi,5.0,"Pelayanan mantap, barang berkualitas dan ada promo menariknya... bintang 5 pokoknya",10 months ago,0,Netral,Positif,layan mantap barang kualitas promo tarik bintang pokok
Winda Dwi Lestari,5.0,"Tempat beli komputer second yang sangat recomended. Tersedia banyak pilihan laptop second tapi fisiknya masih sangat bagus, dan spesifikasi mantap generasi terbaru. Sukses terus hero.",a year ago,0,Netral,Positif,beli komputer second recomended sedia pilih laptop second fisik bagus spesifikasi mantap generasi baru sukses hero
Muhammad Nur Prasetyo,5.0,Tokonya rekomended banget buat yg mau cari laptop gen baru & garansi resmi,a year ago,0,Netral,Positif,toko rekomended banget yg cari laptop gen garansi resmi
Ayu Listia Arifin,5.0,pelayanannya baikk kakanya ramah poll dan dapet diskonn juga😻🫰🏻,a month ago,0,Netral,Positif,layan baikk kakanya ramah poll dapet diskonn
Sigit Meliyanto,5.0,"Top, beli online , ga perlu cek barang langsung udah dijamin bagus pol..",2 weeks ago,0,Positif,Positif,top beli online ga cek barang langsung udah jamin bagus pol
Widi Setyawan,5.0,"Aman dan cukup lengkap, sekarang tempatnya lebih nyaman dan agak luas",6 days ago,0,Netral,Positif,aman lengkap tempat nyaman luas
Dona Setya Nuraini,5.0,"memuaskan, saya beli laptop disini, mas masnya informatif dan ramah",6 months ago,0,Netral,Positif,muas beli laptop mas mas informatif ramah
Stefan Dhev,5.0,"Toko tempat beli laptop bergaransi dan terpercaya, unit looks good, performa bagus, harga terjangkau untuk spek dikelas masing masing",2 months ago,0,Positif,Positif,toko beli laptop garansi percaya unit looks good performa bagus harga jangkau spek kelas
Akul Gama,5.0,"Baru coba pertama kali, pilihannya laptopnya banyak. Semoga cocok biar jadi langganan kalau suruh cariin untuk kantor lagi",3 months ago,0,Netral,Positif,coba kali pilih laptop moga cocok biar langgan suruh cariin kantor
Ahmad Farizal,5.0,"Mau beli laptop second berkualitas disini aja tempat nya, dijamin paling murah se Yogyakarta👍👍👍",a month ago,0,Netral,Positif,beli laptop second kualitas aja nya jamin murah yogyakarta
Stevanus Dannydra Prasetyo,5.0,"Saya beli disini 10 unit untuk perusahaan saya , udah jalan 2 tahun masih okee . Makasi bang owner 🔥",Edited a year ago,0,Netral,Positif,beli unit usaha udah jalan okee makas bang owner
Najwah Ariella Puteri,5.0,Jual-beli laptop yang recommended 👍🏻 laptopnya masih bagus dan pelayanannya juga ramah. Pokoknya kalau mau beli laptop second di sini gak usah ragu 👍🏻,4 months ago,0,Netral,Positif,jualbeli laptop recommended laptop bagus layan ramah pokok beli laptop second gak ragu
Dede Hardiansyah,5.0,"Kualitas baguss, harga bisa nego ada diskon juga di hari wekkend",a month ago,0,Netral,Positif,kualitas baguss harga nego diskon wekkend
Rio Ardiyansyah,5.0,Pelayanan nya bagus… Harga nyaa untukk Laptop Spek Gaming Tipis tipis masih okee buattt di kantonggg,3 months ago,0,Netral,Positif,layan nya bagus harga nyaa untukk laptop spek gaming tipis tipis okee buattt kantonggg
Galuh Alfian Effendi,5.0,Unit bagus lengkap pelayanan ramah Top,5 months ago,0,Positif,Positif,unit bagus lengkap layan ramah top
anisah ainiromadhoni,5.0,"makasih...
habis beli disini.  Semoga awet.  Aamiin",5 months ago,0,Netral,Positif,makasih habis beli moga awet aamiin
IndraSurya Bargo,5.0,Barang bagus ori semua..  laptop model² baru... Harga bisa di nego,a month ago,0,Netral,Positif,barang bagus ori laptop model harga nego
TM_Hasbi Firmansyah,5.0,"pelayanan ramah, unit masih bagus semua, rekomend bgt buat cari laptop",7 months ago,0,Netral,Positif,layan ramah unit bagus rekomend bgt cari laptop
Jamil Masykuri,5.0,"Masnya ramah, ada tambahan instal office, barang bagus",a month ago,0,Netral,Positif,mas ramah tambah instal office barang bagus
Heny Agustiyani,5.0,"Banyak pilihan unitnya dan dapet diskon, staf membantu dan ramah, tempatnya adem dan bersih.",7 months ago,0,Netral,Positif,pilih unit dapet diskon staf bantu ramah tempat adem bersih
Arimbi Arum Sw.,5.0,"Pelayanan super ramah, kualitas laptopnya masih bagus2. Rekomen kalau mau nyari laptop second disini",11 months ago,0,Positif,Positif,layan super ramah kualitas laptop bagus rekomen nyari laptop second
Pur Rakhmatul Barri,5.0,"Tempatnya nyaman, pelayanan jg cepet. ~Nemenin teman kantor beli laptop",4 months ago,0,Netral,Positif,tempat nyaman layan jg cepet nemenin teman kantor beli laptop
Dimas Andreansyah,5.0,"Tempat, dan pelayanannya sangat bagus. Laptop disini lengkap, dan dalam kondisi yang baik.",10 months ago,0,Netral,Positif,layan bagus laptop lengkap kondisi
Rofiq Mubarok,5.0,Salah satu rekomendasi tempat untuk beli laptop second di Jogja. Staffnya ramah dan informatif. Pilihan laptop juga banyak dan keluaran terbaru.,3 months ago,0,Netral,Positif,salah rekomendasi beli laptop second jogja staffnya ramah informatif pilih laptop keluar baru
Leny Hartasya Agustin 05,5.0,"Pelayanan memuaskan, laptop masih bagus bagus",a month ago,0,Netral,Positif,layan muas laptop bagus bagus
Abram Dewantoro,5.0,"Offline store dari ignya : laptopbekasyogyakarta.id bekas berkualitas, barangnya manteb manteb, mantau terus ignya tiap ada postingan baru, kalo ngga cepet cepet nge booking bisa keduluan orang lain, hasil buruan pun dapet disini tuff f15 jauh lebih hemat dari beli baru, padahal barang 98% like new",3 years ago,0,Positif,Positif,offline store ignya laptopbekasyogyakartaid bekas kualitas barang manteb manteb mantau ignya postingan kalo ngga cepet cepet nge booking keduluan orang hasil buru dapet tuff f hemat beli barang like new
Andri Aprianto,5.0,Mau cari laptop bekas ya diHERO computer tempatnya jual beli tukar tambah juga bisa dilayani dengan staf2 yg ramah,3 months ago,0,Netral,Positif,cari laptop bekas ya hero computer tempat jual beli tukar layan staf yg ramah
Budi angrh,5.0,"Alhamdulillah pelayanannya memuaskan, bisa konsultasi dan bisa disesuaikan sesuai budjet, dan yang pasti laptopnya keluaran tahun muda",5 months ago,0,Netral,Positif,alhamdulillah layan muas konsultasi sesuai sesuai budjet laptop keluar muda
Aziz Kurniardi1,5.0,"mantap pelayanan baik dan responsif, rekomended",a month ago,0,Netral,Positif,mantap layan responsif rekomended
Jihad Maruf,5.0,"Pelayanan , oke , harga terjangkau , sip pokoe",6 months ago,0,Netral,Positif,layan oke harga jangkau sip pokoe
M. Gaudienzo Lorenzo Puling,5.0,"Tempatnya aman dan nyaman, petugasnya sangat membantu dan bisa tawar harga yang terbaik pula.",4 months ago,0,Netral,Positif,tempat aman nyaman tugas bantu tawar harga baik
Ferdinand 10,5.0,"pelayanan ramah, penjelasan tentang laptop detail, untuk harga affordable dengan spec laptop yg didapatkan, pilihan laptop banyak",a year ago,0,Netral,Positif,layan ramah jelas laptop detail harga affordable spec laptop yg dapat pilih laptop
njay,5.0,pelayanannya sangat bagus,2 weeks ago,0,Netral,Positif,layan bagus
Eka Saputri,5.0,"pelayanan oke, barang nya mantap betul TERBAIK",a week ago,0,Netral,Positif,layan oke barang nya mantap baik
Muhammad Wildan K.,5.0,"Pelayanan super ramah, dan cepat, tempatnya rapih nyaman, barangnya bagus bagus",a year ago,0,Positif,Positif,layan super ramah cepat tempat rapih nyaman barang bagus bagus
fitra sony,5.0,"Numbaske laptop ibuk saya, bonusnya ada, potongan harga ada.. Mas-mas penjualan lumayan membantu, barang bisa dicek dulu sampai puas sampai ga ngeh dah lewat jam tutup.. matur nuwun, heroes..",a year ago,0,Netral,Positif,numbaske laptop ibuk bonus potong harga masmas jual lumayan bantu barang cek puas ga ngeh dah jam tutup matur nuwun heroes
Novia Tri Ratnasari,5.0,"Pelayanan nya baik, ramah,, harga oke dapat barang bagus sesuai,",3 months ago,0,Netral,Positif,layan nya ramah harga oke barang bagus sesuai
Andrean Henrikus,5.0,"Mantappp, puas beli laptop disini. Chat pas hari h lebaran masih direspon & dilayani dengan baik. Terimakasih banyak semoga sehat & sukses selalu orang baik 🙏🏻",6 months ago,0,Netral,Positif,mantappp puas beli laptop chat pas h lebaran direspon layan terimakasih moga sehat sukses orang
Muah Roniie,5.0,Pelayanannya OK,3 weeks ago,0,Positif,Positif,layan ok
Mulia simanjuntak,5.0,Pelayanan top dengan pilihan laptop yang beragam. TOP,3 weeks ago,0,Positif,Positif,layan top pilih laptop agam top
Shafi Salsabila,5.0,"bagus,, tempat nyaman pelayanan oke",a month ago,0,Netral,Positif,bagus nyaman layan oke
Daily Clips,5.0,"Pelayanan sangat baik
Harga bersahabat
Kualitas mantap bgtt
Makasih herooo",2 years ago,0,Netral,Positif,layan harga sahabat kualitas mantap bgtt makasih herooo
Widya Arum Miranti,5.0,"Bagus banget like newwww, masnya ramah dan mau menjelaskan dengan sabar utk org yg gak ngerti laptop. Worth untuk dicoba beliii🥰♥️",a year ago,0,Positif,Positif,bagus banget like newwww mas ramah sabar utk org yg gak ngerti laptop worth coba beliii
Nabung Naskah,5.0,"Beli laptop second berkualitas disini aja, harga paling murah se Jogja👍👍😝",a month ago,0,Netral,Positif,beli laptop second kualitas aja harga murah jogja
Slamet Riyadi1,5.0,"Mantapp spek laptopnya baguss
Pelayanannya baguss",a month ago,0,Netral,Positif,mantapp spek laptop baguss layan baguss
meida widyaningrum,5.0,Jossjisss recomended masya ramahh poll pilihannya lengkap🤩🫵,3 weeks ago,0,Netral,Positif,jossjisss recomended masya ramahh poll pilih lengkap
zahra,5.0,Pelayanan oke harga terjangkau,a month ago,0,Netral,Positif,layan oke harga jangkau
Rafi,5.0,Pelayanan Ramah Dan Harga Terjangkau,a month ago,0,Netral,Positif,layan ramah harga jangkau
Rangga Perdana,5.0,"Pelayanannya bintang 5, puas banget, nanya apa aja dijawab dan produknya yang dijual beneran berkualitas, second tapi kondisinya kayak barang baru! harganya jangan ditanya, WORTH THE PRICE ✨🔥 Sukses terus buat Hero Computer, saya akan kembali lagi 👍🏻😂",a year ago,0,Positif,Positif,layan bintang puas banget nanya aja produk jual beneran kualitas second kondisi kayak barang harga worth the price sukses hero computer
fathan azka,5.0,"Recommend buat beli laptop disini, sellernya ramah2, friendly, semoga amanah dan berkah rezekinya",10 months ago,0,Positif,Positif,recommend beli laptop sellernya ramah friendly moga amanah berkah rezeki
Hasna Huwaida,5.0,"Pelayanan ramah, laptop yang dimau ada kualitas mantap, harga terjangkau",3 months ago,0,Netral,Positif,layan ramah laptop mau kualitas mantap harga jangkau
